POC,"Pos(x,y)",Block_size(w*h),SplitSeries
0,"192,32",4*16,164897
0,"196,32",8*4,4359201
0,"196,36",8*8,4359201
0,"196,44",4*4,105022497
0,"200,44",4*4,105022497
0,"204,32",4*8,2262049
0,"204,40",4*8,2262049
0,"208,32",16*16,1057
0,"192,48",4*4,103941153
0,"196,48",4*4,103941153
0,"200,48",4*4,103941153
0,"204,48",4*4,103941153
0,"192,52",4*8,103941153
0,"196,52",4*8,103941153
0,"200,52",4*8,103941153
0,"204,52",4*8,103941153
0,"192,60",4*4,103941153
0,"196,60",4*4,103941153
0,"200,60",4*4,103941153
0,"204,60",4*4,103941153
0,"208,48",8*8,33825
0,"216,48",8*4,2130977
0,"216,52",4*4,102794273
0,"220,52",4*4,102794273
0,"208,56",4*8,3179553
0,"212,56",4*8,3179553
0,"216,56",8*8,33825
0,"224,32",4*16,3245089
0,"228,32",4*4,137462817
0,"228,36",4*8,137462817
0,"228,44",4*4,137462817
0,"232,32",4*8,70353953
0,"232,40",4*8,70353953
0,"236,32",4*8,70353953
0,"236,40",4*8,70353953
0,"240,32",16*8,66593
0,"240,40",16*8,66593
0,"224,48",4*4,103941153
0,"228,48",4*4,103941153
0,"232,48",8*4,3277857
0,"224,52",8*4,70386721
0,"224,56",8*4,70386721
0,"232,52",8*8,3277857
0,"224,60",16*4,132129
0,"240,48",16*8,66593
0,"240,56",16*8,66593
0,"128,64",4*4,5375009
0,"132,64",8*4,5375009
0,"140,64",4*4,5375009
0,"128,68",4*8,5375009
0,"132,68",8*8,5375009
0,"140,68",4*4,72483873
0,"140,72",4*4,72483873
0,"128,76",16*4,132129
0,"144,64",16*4,2163745
0,"144,68",16*4,2163745
0,"144,72",8*4,70321185
0,"144,76",8*4,70321185
0,"152,72",4*8,103875617
0,"156,72",4*8,103875617
0,"128,80",4*4,102794273
0,"132,80",4*4,102794273
0,"128,84",8*4,2130977
0,"136,80",8*8,33825
0,"128,88",8*4,2130977
0,"128,92",4*4,102794273
0,"132,92",4*4,102794273
0,"136,88",4*4,70288417
0,"136,92",4*4,70288417
0,"140,88",4*4,70288417
0,"140,92",4*4,70288417
0,"144,80",4*4,69370913
0,"144,84",4*4,69370913
0,"144,88",4*8,2262049
0,"148,80",8*4,4359201
0,"148,84",8*8,4359201
0,"148,92",8*4,4359201
0,"156,80",4*16,164897
0,"160,64",16*8,66593
0,"160,72",4*8,5309473
0,"164,72",8*8,5309473
0,"172,72",4*8,5309473
0,"176,64",8*4,69305377
0,"176,68",8*4,69305377
0,"176,72",8*4,69305377
0,"176,76",8*4,69305377
0,"184,64",4*8,70353953
0,"184,72",4*8,70353953
0,"188,64",4*16,3245089
0,"160,80",8*8,2196513
0,"160,88",4*8,102859809
0,"164,88",4*8,102859809
0,"168,80",4*16,3245089
0,"172,80",4*8,70353953
0,"172,88",4*8,70353953
0,"176,80",4*4,169935905
0,"180,80",8*4,169935905
0,"188,80",4*4,169935905
0,"176,84",4*4,169935905
0,"180,84",8*4,169935905
0,"188,84",4*4,169935905
0,"176,88",4*8,103875617
0,"180,88",4*8,103875617
0,"184,88",8*8,3212321
0,"128,96",4*4,69370913
0,"128,100",4*4,69370913
0,"128,104",4*4,69370913
0,"128,108",4*4,69370913
0,"132,96",4*8,102925345
